Bot,Class,Bot,User
Ada,Chat Messages,x,o
characterAI,Text Chat Message,x,x
characterAI,Image Chat Message,x,x
characterAI,Sticker Chat Message,o,x
characterAI,Voice Chat Message,x,x
ChatGPT,Text Chat Message,x,x
ChatGPT,Image Chat Message,x,x
ChatGPT,Video Chat Message,x,x
ChatGPT,Sticker Chat Message,o,x
ChatGPT,Voice Chat Message,x,x
ChatGPT,Emoji Chat Message,x,x
Deepseek,Text Chat Message,x,x
Deepseek,Image Chat Message,o,x
Deepseek,Voice Chat Message,o,x
Deepseek,Emoji Chat Message,x,o
Gemini,Text Chat Message,x,x
Gemini,Image Chat Message,x,x
Gemini,Video Chat Message,x,x
Gemini,Gif Chat Message,o,x
Gemini,Voice Chat Message,x,x
Gemini,Emoji Chat Message,o,x
Paradot,Text Chat Message,x,x
Paradot,Image Chat Message,x,x
Paradot,Emoji Chat Message,x,o
Paradot,GIF Chat Message,o,x
Paradot,Sticker Chat Message,o,x
Paradot,Voice Chat Message,x,x
Replika,Text Chat Message,x,x
Replika,Image Chat Message,x,o
Replika,Voice Chat Message,x,x
Replika,Emoji Chat Message,x,o
Rocky,Text Chat Message,x,x
Rocky,Voice Chat Message,x,x
Rocky,Emoji Chat Message,x,o
SeniorTalk,Text Chat Message,x,x
SeniorTalk,Image Chat Message,o,x
SeniorTalk,Video Chat Message,o,x
SeniorTalk,GIF Chat Message,o,x
SeniorTalk,Voice Chat Message,x,x
SeniorTalk,Emoji Chat Message,x,x
SeniorTalk,Emoji Chat Message,x,x
Supetutor,Text Chat Message,x,x
Supetutor,Image Chat Message,x,x
Supetutor,Voice Chat Message,x,o
Supetutor,Emoji Chat Message,x,o
Talkpal,Text Chat Message,x,x
Talkpal,Voice Chat Message,x,x
Wysa,GIF Chat Message,x,o
Wysa,Emoji Chat Message,x,x
